Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,day_average
2020,11,7,5491.811193,5351.317114,5232.611068,5154.439022,5105.678445,5084.428059,5117.194915,5083.781236,5128.071212,5186.929751,5289.862518,5402.226639,5568.203601,5749.585546,5835.751945,5837.373039,5744.484006,5664.442139,5624.881907,5569.246276,5492.855520,5471.094196,5492.736103,5531.296714,5560.290395,5590.716379,5668.645088,5724.137745,5851.695517,5896.764666,6024.840377,6219.949023,6424.656058,6616.658757,6731.602200,6815.491923,6900.637038,7051.491309,6956.733159,6852.309990,6767.129707,6579.002242,6384.762848,6230.658750,6078.858945,5979.293619,5806.785140,5602.160359,5844.282779
2020,11,8,5410.987915,5272.695098,5139.342093,5069.345434,5066.789674,5061.358303,5054.677268,5025.466900,5081.960746,5137.588802,5246.049627,5372.117507,5525.489038,5675.295892,5777.998629,5743.775677,5656.622449,5560.417664,5526.111619,5498.644876,5483.036021,5460.255960,5425.483505,5477.862011,5497.906646,5464.141465,5497.515723,5595.265894,5717.884473,5828.628960,5946.245599,6166.890445,6402.890477,6560.562849,6653.000515,6651.902961,6676.109921,6828.218306,6768.733614,6686.038251,6601.696283,6440.733467,6302.831674,6173.269091,6065.188488,5990.738486,5819.198696,5610.919152,5764.497586
2020,11,9,5417.283718,5252.852021,5136.750637,5112.675234,5055.588371,5024.491618,5008.280544,5004.706913,4997.606571,5003.529261,5008.151558,4964.466738,4940.745732,4938.919813,4934.261297,4894.758042,4882.185898,4907.090005,4862.850390,4810.635523,4774.012273,4731.560270,4702.322628,4716.731672,4768.182099,4835.333689,4903.953132,5035.383406,5185.790619,5372.316495,5586.714322,5775.927430,5999.009021,6200.784442,6278.492237,6346.633914,6422.219021,6596.963535,6530.579783,6460.628725,6378.621435,6227.070996,6106.098606,6011.869500,5935.862645,5891.860652,5715.669564,5547.232610,5399.909471
2020,11,10,5293.256441,5152.862939,5052.766456,5004.473250,4947.528416,4916.013368,4890.361592,4872.394779,4869.437644,4856.384110,4834.425159,4796.817539,4703.887122,4599.868000,4565.411296,4555.172530,4576.842776,4588.234230,4586.712856,4560.316130,4651.015684,4640.210537,4620.379097,4662.162152,4578.223641,4618.878624,4646.496335,4757.803744,4892.753068,5046.600378,5277.174609,5496.937398,5751.908598,5979.376399,6166.910944,6283.988526,6416.389476,6593.075516,6516.834617,6436.331967,6356.289154,6173.716410,6025.787774,5880.515529,5773.735497,5709.891352,5553.918961,5378.326183,5231.433308
2020,11,11,5217.316372,5074.487409,5014.006687,4943.782232,4905.124348,4885.235987,4870.057393,4894.050459,4952.582738,4968.816335,5070.843998,5196.380541,5364.310626,5521.800054,5618.759177,5637.635222,5562.676669,5514.526756,5460.794118,5384.801936,5311.708460,5268.460148,5231.730997,5253.280859,5285.080987,5345.413723,5449.018378,5533.422529,5675.181470,5828.897703,5980.523440,6176.829906,6410.843982,6585.150772,6710.587416,6780.000618,6838.181633,7021.292527,6934.290340,6814.511505,6692.997993,6516.558203,6344.092234,6179.513530,6020.968630,5920.115446,5726.971515,5536.666523,5696.464178
2020,11,12,5357.142565,5229.926959,5110.240974,5031.776339,5032.824864,5004.648948,4994.019992,4997.057532,5002.635673,5036.528357,5139.995989,5243.412260,5385.589366,5518.256966,5575.258640,5534.039912,5471.724686,5418.857515,5358.777119,5288.167860,5248.163214,5255.044736,5247.169140,5274.541712,5331.422058,5392.227519,5479.237096,5596.038435,5756.297025,5898.390643,6068.435833,6293.851352,6496.821981,6666.870578,6741.012826,6771.465909,6829.800032,7002.890247,6932.872242,6846.154222,6744.120801,6573.423721,6419.499541,6257.050851,6089.058249,5981.362241,5786.612268,5593.913148,5735.513128
2020,11,13,5404.537379,5239.748144,5130.535024,5059.311418,5056.647079,5029.803027,5022.083556,4985.543654,5036.402110,5088.636313,5190.569269,5301.173491,5455.072772,5627.962025,5760.406208,5736.912346,5692.828225,5623.105006,5558.692852,5517.735594,5517.282124,5557.388060,5514.264272,5530.958437,5553.763496,5579.324868,5683.822824,5801.516202,5942.649204,6079.600559,6212.145505,6370.122400,6554.750664,6709.525499,6805.406720,6840.078819,6863.133284,7031.613156,6969.027354,6884.257666,6779.432299,6595.036517,6439.494734,6283.397324,6132.589224,6025.881788,5840.752576,5637.201232,5838.585881
2020,11,14,5431.714047,5285.546451,5171.420653,5093.710007,5042.976722,5020.420713,5015.865237,5018.257241,5073.975922,5121.488826,5234.012200,5355.470593,5495.682683,5645.236455,5754.488237,5756.299594,5693.956188,5630.209500,5609.143465,5555.801042,5492.837709,5504.567971,5524.041737,5569.990076,5625.014743,5701.334549,5814.005439,5941.704427,6092.929427,6209.698319,6340.306977,6521.803575,6728.838236,6871.539990,6997.757998,7030.580018,7079.723776,7268.780219,7210.451744,7118.238972,7011.037930,6821.047902,6603.478576,6414.968283,6243.790353,6131.792838,5935.098512,5721.267905,5927.756333
2020,11,15,5511.712276,5357.003183,5234.681604,5175.468597,5130.262174,5093.666843,5082.742767,5073.084462,5115.698667,5169.321452,5249.761877,5346.171273,5488.145449,5611.281389,5738.203420,5777.143216,5741.193431,5694.275763,5622.148986,5540.577136,5490.370949,5491.515524,5501.925738,5544.285565,5611.612838,5681.823308,5797.934589,5926.378766,6052.506854,6146.920198,6300.079441,6513.792094,6734.780228,6888.842503,6933.219928,6872.318321,6856.048834,7023.619563,6984.728256,6910.872714,6808.394012,6633.593646,6490.220382,6342.921074,6203.932039,6129.563623,5950.110035,5738.676441,5902.365238
2020,11,16,5554.876405,5401.012424,5283.665359,5197.705731,5139.823356,5081.855653,5067.939119,5047.920178,5073.204518,5070.088922,5081.955235,5096.545543,5099.427855,5133.829428,5210.672864,5296.586854,5401.143243,5459.899221,5486.706312,5467.332136,5440.353719,5430.523256,5396.874401,5385.299405,5393.192777,5517.874395,5701.392230,5846.369159,5976.237272,6116.348942,6267.479516,6329.094936,6434.575317,6532.321317,6593.235832,6613.402650,6625.790034,6741.579863,6677.128313,6588.808403,6498.857937,6347.142127,6215.534347,6087.585552,6012.317337,5939.317207,5779.119980,5577.479905,5723.279718
2020,11,17,5319.848024,5258.997494,5143.536072,5072.473153,5005.846528,5003.068254,4984.579732,4971.332756,4966.379691,4932.283152,4917.571514,4900.248404,4807.474404,4727.721567,4718.508353,4787.831762,4833.578587,4925.814337,5000.444129,5042.304383,5097.393669,5111.094337,5153.201115,5161.979188,5203.311273,5276.982020,5381.008897,5493.583019,5617.074603,5733.563600,5878.549448,6015.989348,6212.473779,6384.690486,6535.743483,6611.170133,6701.864052,6875.018066,6813.425123,6691.430104,6584.457123,6387.911306,6217.978095,6053.434127,5913.699421,5820.689644,5647.147529,5449.703035,5528.008507
2020,11,18,5355.962715,5222.416004,5113.151278,5038.850183,5036.620198,5000.429236,5005.025058,5007.146231,5044.208689,5054.480349,5169.006992,5217.729905,5372.185990,5528.503121,5621.919622,5606.230562,5494.595643,5422.699644,5371.701299,5299.972953,5292.321935,5289.155555,5307.076325,5329.934575,5376.290267,5446.069218,5537.766271,5650.919567,5768.938784,5893.438421,6027.400857,6212.906570,6422.858567,6590.529894,6690.048609,6729.901290,6748.885354,6920.855055,6847.143452,6754.662251,6645.856864,6456.343999,6290.281408,6120.548773,5929.541987,5825.479879,5659.144792,5466.651242,5712.787238
2020,11,19,5299.549229,5225.241077,5117.194057,5038.336318,5000.634713,4959.721797,4959.922811,4951.959146,5006.264544,5057.612518,5100.299757,5207.159955,5356.014748,5496.496393,5592.929213,5578.816774,5526.771699,5502.528291,5472.204696,5402.711532,5377.257559,5324.493682,5298.282356,5343.800639,5343.184020,5372.619338,5452.235049,5572.464282,5700.924208,5776.621733,5904.233551,6091.087947,6338.600100,6522.924209,6660.164059,6700.606964,6747.645119,6924.348147,6894.160863,6814.753305,6707.083203,6500.476838,6348.635846,6165.430486,6005.710692,5915.151473,5738.290682,5528.019261,5706.699477
2020,11,20,5342.123598,5210.478890,5161.386309,5097.196911,5058.610665,5022.771515,5008.495474,5010.973778,5072.502475,5106.538174,5151.621607,5277.925013,5434.353354,5579.611580,5677.715002,5657.399285,5587.927666,5514.736756,5463.844954,5427.486967,5378.625961,5370.738134,5380.807718,5434.670016,5508.632227,5616.926061,5744.571667,5918.291815,6051.501835,6164.758922,6269.003408,6444.073403,6596.849359,6696.306919,6793.329693,6790.879232,6789.180735,6919.595261,6908.000343,6821.433519,6739.838315,6534.834992,6363.615235,6178.332071,6022.078383,5925.284985,5736.675556,5550.305934,5802.350868
2020,11,21,5362.082966,5207.548173,5108.485741,5023.054791,4978.253950,4949.969618,4943.529196,4938.245292,4987.550854,5039.257084,5139.125961,5262.289437,5441.072683,5569.939569,5668.491604,5681.225172,5630.099724,5575.571430,5543.315938,5502.084426,5456.431189,5472.054129,5484.451309,5495.781061,5505.845765,5521.399039,5609.366665,5721.134472,5866.058372,5986.246243,6121.050879,6327.336401,6532.422280,6699.984649,6806.499926,6856.863894,6887.707859,7079.170521,7047.677125,6993.650551,6876.661887,6698.245881,6484.178904,6300.986304,6142.266441,6025.771737,5835.745130,5623.807927,5812.708128
